Model,Transimission_Type,Year,CC,Usage Origin,Price
Mercedes Benz E250,Automatic,2015,2000 CC,Kenyan Used,"KES 3,299,999"
BMW 523i,Automatic,2013,2000 CC,Kenyan Used,"KES 1,599,999"
Toyota Fortuner,Automatic,2017,2800 CC,Foreign Used,"KES 6,799,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Kenyan Used,"KES 3,499,999"
Mercedes Benz C200,Automatic,2012,1800 CC,Kenyan Used,"KES 2,199,999"
Suzuki Escudo,Automatic,2016,1600 CC,Foreign Used,"KES 2,349,999"
Toyota Mark X,Automatic,2013,2500 CC,Kenyan Used,"KES 1,549,999"
Mazda Demio,Automatic,2016,1300 CC,Foreign Used,"KES 1,299,999"
BMW 320i,Manual,2005,2000 CC,Kenyan Used,"KES 749,999"
Nissan Note,Automatic,2015,1200 CC,Kenyan Used,"KES 879,999"
Volkswagen Touareg,Automatic,2013,3600 CC,Kenyan Used,"KES 4,249,999"
Mazda Premacy,Automatic,2014,2000 CC,Kenyan Used,"KES 1,049,999"
Suzuki Jimny,Automatic,2019,1500 CC,Foreign Used,"KES 3,599,999"
Volvo XC90,Automatic,2008,3200 CC,Kenyan Used,"KES 1,649,999"
Peugeot 206,Manual,2006,1600 CC,Kenyan Used,"KES 385,000"
Jaguar F PACE,Automatic,2018,2000 CC,Foreign Used,"KES 6,999,999"
Toyota Hiace,Automatic,2017,3000 CC,Kenyan Used,"KES 3,499,999"
Mazda CX5,Automatic,2018,2200 CC,Foreign Used,"KES 3,449,999"
Toyota Sienta,Automatic,2017,1500 CC,Kenyan Used,"KES 1,699,999"
Range Rover Vogue,Automatic,2016,3000 CC,Foreign Used,"KES 9,999,999"
BMW X6,Automatic,2017,3000 CC,Kenyan Used,"KES 7,099,999"
Porsche Cayenne,Automatic,2009,3600 CC,Kenyan Used,"KES 2,199,999"
Nissan Sunny,Automatic,1997,1500 CC,Kenyan Used,"KES 299,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 5,499,999"
Mercedes Benz GLC 250,Automatic,2016,2000 CC,Foreign Used,"KES 4,949,999"
Audi A3,Automatic,2017,1400 CC,Foreign Used,"KES 2,399,999"
Nissan NV 250,Automatic,2014,1600 CC,Kenyan Used,"KES 989,999"
Nissan Skyline,Automatic,2016,2000 CC,Foreign Used,"KES 2,349,999"
Porsche Cayenne,Automatic,2016,3000 CC,Foreign Used,"KES 8,499,999"
Toyota Voxy,Automatic,2011,2000 CC,Kenyan Used,"KES 1,229,999"
Toyota Axio,Automatic,2014,1500 CC,Kenyan Used,"KES 1,249,999"
Toyota Isis,Automatic,2012,1800 CC,Kenyan Used,"KES 969,999"
Nissan Juke,Automatic,2015,1500 CC,Kenyan Used,"KES 1,449,999"
Volvo V40,Automatic,2014,1600 CC,Kenyan Used,"KES 1,349,999"
Mercedes Benz C200,Automatic,2008,1800 CC,Kenyan Used,"KES 1,349,999"
Volvo S60,Automatic,2018,2000 CC,Foreign Used,"KES 2,499,999"
Audi SQ5,Automatic,2020,3000 CC,Foreign Used,"KES 8,199,999"
Lexus RX300,Automatic,2006,3000 CC,Kenyan Used,"KES 849,999"
Mercedes Benz E200,Automatic,2016,2000 CC,Kenyan Used,"KES 4,999,999"
Mitsubishi Outlander,Automatic,2013,2000 CC,Kenyan Used,"KES 1,699,999"
Subaru XV,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,899,999"
BMW 118i,Automatic,2016,1500 CC,Kenyan Used,"KES 1,899,999"
Volvo XC60,Automatic,2019,2000 CC,Foreign Used,"KES 5,949,999"
Toyota Aqua,Automatic,2017,1500 CC,Foreign Used,"KES 1,549,999"
Mercedes Benz GLE 350d,Automatic,2017,3000 CC,Foreign Used,"KES 11,499,999"
Toyota Axio,Automatic,2016,1500 CC,Kenyan Used,"KES 1,599,999"
Suzuki Escudo,Automatic,2008,2000 CC,Kenyan Used,"KES 749,999"
Subaru Impreza,Automatic,2013,2000 CC,Kenyan Used,"KES 1,099,999"
Audi A4,Automatic,2013,2000 CC,Kenyan Used,"KES 1,749,999"
Honda Odyssey,Automatic,2009,2400 CC,Kenyan Used,"KES 969,999"
Mazda CX5,Automatic,2016,2200 CC,Kenyan Used,"KES 2,099,999"
Mercedes Benz E200,Automatic,2016,2000 CC,Kenyan Used,"KES 5,399,999"
Volkswagen Polo,Automatic,2012,1200 CC,Kenyan Used,"KES 819,999"
Lexus RX450H,Automatic,2017,3500 CC,Foreign Used,"KES 6,999,999"
Toyota Premio,Automatic,2010,2000 CC,Kenyan Used,"KES 1,099,999"
Volkswagen Golf GTI,Automatic,2017,2000 CC,Foreign Used,"KES 3,099,999"
Toyota Crown,Automatic,2014,2500 CC,Kenyan Used,"KES 1,999,999"
Range Rover Vogue,Automatic,2019,3000 CC,Foreign Used,"KES 16,999,999"
Volkswagen Arteon,Automatic,2017,2000 CC,Foreign Used,"KES 4,849,999"
Lexus CT200h,Automatic,2011,1800 CC,Kenyan Used,"KES 1,599,999"
Nissan XTRAIL,Automatic,2015,2000 CC,Kenyan Used,"KES 2,119,999"
Nissan DAYZ,Automatic,2017,660 CC,Foreign Used,"KES 829,999"
Mazda Atenza,Automatic,2016,2000 CC,Foreign Used,"KES 2,599,999"
Toyota Auris,Automatic,2012,1500 CC,Kenyan Used,"KES 1,149,999"
Toyota Axio,Automatic,2017,1500 CC,Foreign Used,"KES 1,999,999"
Nissan Lafesta,Automatic,2014,2000 CC,Kenyan Used,"KES 949,999"
KIA Sportage,Automatic,2007,2000 CC,Kenyan Used,"KES 979,999"
Nissan Fuga,Automatic,2011,2500 CC,Kenyan Used,"KES 1,249,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,399,999"
Toyota Vitz,Automatic,2009,1000 CC,Kenyan Used,"KES 595,000"
