Model,Transimission_Type,Year,CC,Usage Origin,Price
Subaru Levorg 1.6L,Automatic,2016,1600 CC,Kenyan Used,"KES 1,779,999"
BMW 320i 2.2L,Automatic,2002,2200 CC,Kenyan Used,"KES 629,999"
Audi Q3 2.0T QUATTRO S-LINE,Automatic,2014,2000 CC,Kenyan Used,"KES 2,799,999"
Mercedes Benz C200,Automatic,2015,2000 CC,Kenyan Used,"KES 3,249,999"
Subaru Impreza G4,Automatic,2013,2000 CC,Kenyan Used,"KES 1,149,999"
Smart Fortwo,Automatic,2017,900 CC,Foreign Used,"KES 2,699,999"
Volvo XC60,Automatic,2018,2000 CC,Foreign Used,"KES 5,449,999"
Audi A3,Automatic,2016,1800 CC,Kenyan Used,"KES 1,999,999"
Toyota Landcruiser Prado VX-L,Automatic,2016,2800 CC,Kenyan Used,"KES 7,499,999"
Porsche Cayenne,Automatic,2019,2900 CC,Kenyan Used,"KES 14,499,999"
Mazda CX5,Automatic,2016,2500 CC,Kenyan Used,"KES 2,649,999"
Mazda Atenza,Automatic,2016,2500 CC,Foreign Used,"KES 2,849,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 2,199,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 5,599,999"
Honda Jade,Automatic,2016,1500 CC,Foreign Used,"KES 2,149,999"
Subaru Outback,Automatic,2016,2500 CC,Foreign Used,"KES 3,749,999"
Ford Kuga Titanium,Automatic,2014,1600 CC,Kenyan Used,"KES 1,199,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,999,999"
"Nissan XTRAIL ""NT32""",Automatic,2014,2000 CC,Kenyan Used,"KES 1,799,999"
BMW 523i,Automatic,2014,2000 CC,Kenyan Used,"KES 2,399,999"
"BMW X6 ""F16"" XDRIVE 35i",Automatic,2017,3000 CC,Foreign Used,"KES 5,699,999"
Toyota Mark X,Automatic,2007,2500 CC,Kenyan Used,"KES 859,999"
BMW 318i,Automatic,2005,2000 CC,Kenyan Used,"KES 589,999"
Mercedes Benz A180,Automatic,2015,1600 CC,Kenyan Used,"KES 1,999,999"
Volkswagen Touareg Hybrid,Automatic,2011,3000 CC,Kenyan Used,"KES 2,749,999"
Mazda CX-5 2.5L AWD,Automatic,2017,2500 CC,Foreign Used,"KES 3,599,999"
Toyota Landcruiser Prado TX,Automatic,2006,4000 CC,Kenyan Used,"KES 1,999,999"
Mercedes Benz C200 KOMPRESSOR,Automatic,2009,1800 CC,Kenyan Used,"KES 1,549,999"
Subaru Outback,Automatic,2006,2500 CC,Kenyan Used,"KES 819,999"
Toyota Vitz,Automatic,2016,1300 CC,Foreign Used,"KES 1,299,999"
Mazda CX-5 2.2D,Automatic,2017,2200 CC,Foreign Used,"KES 3,449,999"
Toyota Landcruiser Prado TX,Automatic,2019,2800 CC,Foreign Used,"KES 9,699,999"
Suzuki Swift Sport 1.6,Automatic,2016,1600 CC,Foreign Used,"KES 1,499,999"
Toyota Voxy,Automatic,2016,2000 CC,Foreign Used,"KES 2,699,999"
Range Rover Classic 3.5L V8,Manual,1981,3500 CC,Kenyan Used,"KES 1,149,999"
Mazda CX-5 2.2D AWD,Automatic,2017,2200 CC,Foreign Used,"KES 3,349,999"
Mercedes Benz C200 / PANORAMIC SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 4,449,999"
Volkswagen Golf 1.4L TSI,Automatic,2016,1400 CC,Foreign Used,"KES 1,949,999"
Volkswagen Golf TSI 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 1,999,999"
Landrover Discovery IV,Automatic,2012,3000 CC,Kenyan Used,"KES 3,999,999"
"Jeep Compass ""MK49""",Automatic,2016,2000 CC,Kenyan Used,"KES 2,799,999"
Mazda CX-5 2.2D AWD,Automatic,2017,2200 CC,Kenyan Used,"KES 3,099,999"
Mazda Demio,Automatic,2014,1300 CC,Kenyan Used,"KES 969,999"
Toyota Premio,Automatic,2009,1800 CC,Kenyan Used,"KES 999,999"
Porsche Cayenne 3.0L V6 / PANORAMIC SUNROOF,Automatic,2013,3000 CC,Kenyan Used,"KES 3,999,999"
Range Rover Evoque,Automatic,2013,2000 CC,Kenyan Used,"KES 3,349,999"
Isuzu FRR,Automatic,2021,5200 CC,Kenyan Used,"KES 5,399,999"
Volkswagen Golf Variant  R-Line 1.4L TSI,Automatic,2014,1400 CC,Kenyan Used,"KES 1,599,999"
Toyota Vitz,Automatic,2015,1300 CC,Kenyan Used,"KES 1,099,999"
"Toyota Landcruiser ""ZX"" / SUNROOF/ 8 SEAT OCCUPANCY",Automatic,2016,4600 CC,Kenyan Used,"KES 8,899,999"
Nissan Skyline,Automatic,2011,2500 CC,Kenyan Used,"KES 999,999"
Toyota Landcruiser Prado J120,Automatic,2006,2700 CC,Kenyan Used,"KES 2,099,999"
Subaru Legacy B4,Automatic,2016,2500 CC,Foreign Used,"KES 2,629,999"
Mercedes Benz E250,Automatic,2016,2000 CC,Foreign Used,"KES 3,949,999"
Toyota Fielder,Automatic,2016,1500 CC,Kenyan Used,"KES 1,599,999"
Nissan Juke,Automatic,2014,1500 CC,Kenyan Used,"KES 1,349,999"
Audi A5,Automatic,2017,2000 CC,Foreign Used,"KES 4,899,999"
Volkswagen Golf R Variant,Automatic,2015,2000 CC,Foreign Used,"KES 3,999,999"
Toyota Axio,Automatic,2016,1500 CC,Foreign Used,"KES 1,649,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 1,949,999"
Mazda Demio 1.3L,Automatic,2016,1300 CC,Foreign Used,"KES 1,249,999"
Toyota Porte,Automatic,2015,1500 CC,Foreign Used,"KES 1,160,000"
Mercedes Benz C200,Automatic,2014,2000 CC,Kenyan Used,"KES 2,949,999"
Toyota Fielder 'G',Automatic,2016,1500 CC,Foreign Used,"KES 1,749,999"
Jeep Grand Cherokee 'TRAILHAWK',Automatic,2017,3600 CC,Foreign Used,"KES 5,399,999"
Jeep Grand Cherokee,Automatic,2016,3600 CC,Foreign Used,"KES 4,899,999"
Jeep Renegade,Automatic,2017,1400 CC,Foreign Used,"KES 2,399,999"
Nissan Teana XL,Automatic,2015,2500 CC,Kenyan Used,"KES 1,369,999"
Audi A3,Automatic,2017,1400 CC,Foreign Used,"KES 2,749,999"
Subaru Forester NA / PANORAMIC SUNROOF,Automatic,2012,2000 CC,Kenyan Used,"KES 1,999,999"
Toyota Belta,Automatic,2008,1300 CC,Kenyan Used,"KES 665,000"
BMW X3 XDrive 20d M-SPORT / PANORAMIC SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 4,249,999"
Nissan Sylphy,Automatic,2016,1800 CC,Foreign Used,"KES 1,549,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 2,099,999"
Mazda Demio 1.3L,Automatic,2017,1300 CC,Foreign Used,"KES 1,399,999"
BMW X6 XDRIVE 35i,Automatic,2011,3000 CC,Kenyan Used,"KES 3,199,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,549,999"
Mazda CX-5 2.2D,Automatic,2017,2200 CC,Foreign Used,"KES 3,099,999"
Mazda CX-5 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,599,999"
Toyota Harrier Premium,Automatic,2016,2000 CC,Foreign Used,"KES 3,599,999"
"Toyota Landcruiser ""ZX"" 200 Series 4.6L V8",Automatic,2017,4600 CC,Foreign Used,"KES 11,999,999"
Volvo XC60,Automatic,2016,2000 CC,Foreign Used,"KES 3,099,999"
Ford Ranger,Automatic,2017,3200 CC,Foreign Used,"KES 5,849,999"
Toyota Hilux D CAB,Automatic,2016,2500 CC,Foreign Used,"KES 5,399,999"
Audi A6 2.0L QUATTRO C7.5,Automatic,2017,2000 CC,Foreign Used,"KES 3,949,999"
Toyota Vitz,Automatic,2017,1300 CC,Foreign Used,"KES 1,399,999"
Nissan Elgrand,Automatic,2016,2500 CC,Foreign Used,"KES 2,449,999"
Audi Q7 2.0T QUATTRO,Automatic,2016,2000 CC,Foreign Used,"KES 5,949,999"
Audi A5,Automatic,2017,2000 CC,Foreign Used,"KES 4,549,999"
Toyota Landcruiser 200 Series 4.6L V8,Automatic,2010,4600 CC,Kenyan Used,"KES 7,499,999"
Mazda Demio 1.3L,Automatic,2016,1300 CC,Foreign Used,"KES 1,299,999"
Mercedes Benz C200,Automatic,2016,2000 CC,Foreign Used,"KES 4,199,999"
Toyota Landcruiser Prado TX / SUNROOF / 7 SEATER,Automatic,2015,2700 CC,Kenyan Used,"KES 4,849,999"
Subaru Forester,Automatic,2014,2000 CC,Kenyan Used,"KES 2,349,999"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,269,999"
Volkswagen Tiguan,Automatic,2014,1400 CC,Kenyan Used,"KES 2,249,999"
Audi Q3 2.0T QUATTRO S-LINE,Automatic,2016,2000 CC,Kenyan Used,"KES 3,149,999"
Volkswagen Golf TSI 1.2L,Automatic,2015,1200 CC,Kenyan Used,"KES 1,699,999"
Volkswagen Golf 2.0L FSI,Automatic,2003,2000 CC,Kenyan Used,"KES 599,999"
Volkswagen Golf Variant 1.4L TSI,Automatic,2016,1400 CC,Foreign Used,"KES 1,999,999"
Mazda CX-5 2.5L,Automatic,2017,2500 CC,Foreign Used,"KES 3,699,999"
Mazda CX-5 2.2D,Automatic,2017,2200 CC,Foreign Used,"KES 3,249,999"
Volkswagen Passat Variant 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 2,199,999"
Toyota Wish,Automatic,2016,1800 CC,Foreign Used,"KES 2,499,999"
Porsche Cayenne 3.0L V6,Automatic,2013,3000 CC,Kenyan Used,"KES 3,949,999"
Mitsubishi Galant GDI,Automatic,1998,2000 CC,Kenyan Used,"KES 275,000"
Toyota Crown ATHLETE / SUNROOF,Automatic,2013,2500 CC,Kenyan Used,"KES 1,849,999"
Nissan BlueBird,Automatic,2009,2000 CC,Kenyan Used,"KES 749,999"
Land Rover Discovery IV / 3-Zone Sunroof,Automatic,2015,3000 CC,Kenyan Used,"KES 5,499,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,899,999"
Toyota Camry,Automatic,2014,2500 CC,Kenyan Used,"KES 1,699,999"
Audi A6 QUATTRO C7.5,Automatic,2016,2000 CC,Foreign Used,"KES 3,299,999"
Audi A5 2.0T QUATTRO S-LINE,Automatic,2016,2000 CC,Foreign Used,"KES 3,549,999"
Peugeot 308 GT-Line,Automatic,2017,1200 CC,Foreign Used,"KES 1,979,999"
Mercedes Benz C200,Automatic,2010,1800 CC,Kenyan Used,"KES 1,549,999"
Mazda Demio 1.5L,Automatic,2017,1500 CC,Foreign Used,"KES 1,449,999"
Mazda Axela,Automatic,2014,1500 CC,Kenyan Used,"KES 1,499,999"
Volvo XC60 D4 / PANO SUNROOF,Automatic,2019,2000 CC,Foreign Used,"KES 6,499,999"
Mazda CX-5 2.2D AWD / SUNROOF,Automatic,2017,2200 CC,Foreign Used,"KES 3,849,999"
Audi Q5,Automatic,2017,2000 CC,Foreign Used,"KES 5,199,999"
Toyota Corolla G-Touring,Automatic,1998,1600 CC,Kenyan Used,"KES 449,999"
Toyota Passo,Automatic,2016,1000 CC,Foreign Used,"KES 1,149,999"
Toyota Landcruiser Prado GDJ150 / SUNROOF,Automatic,2015,2800 CC,Kenyan Used,"KES 5,499,999"
BMW  X3 XDrive 20d M-SPORT,Automatic,2016,2000 CC,Foreign Used,"KES 4,149,999"
"Volvo XC60 T5 ""Inscription"" AWD",Automatic,2016,2000 CC,Foreign Used,"KES 4,349,999"
Lexus NX200t,Automatic,2016,2000 CC,Kenyan Used,"KES 4,999,999"
Mercedes Benz E350 / SUNROOF,Automatic,2012,3500 CC,Kenyan Used,"KES 2,949,999"
"Nissan Patrol Nismo ""Y62""  / SUNROOF",Automatic,2016,5600 CC,Kenyan Used,"KES 8,599,999"
Range Rover Sport Autobiography 5.0L V8 SUPERCHARGED / PANO SUNROOF,Automatic,2013,5000 CC,Kenyan Used,"KES 7,999,999"
Landrover Defender 110,Manual,2011,2500 CC,Kenyan Used,"KES 4,099,999"
Peugeot 2008 / MOONROOF,Automatic,2017,1200 CC,Foreign Used,"KES 2,099,999"
Peugeot 508 / MOONROOF,Automatic,2017,1600 CC,Foreign Used,"KES 2,479,999"
Volvo XC60 D4 / SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 3,849,999"
Toyota SUCCEED,Automatic,2016,1500 CC,Foreign Used,"KES 1,299,999"
Mazda Demio 1.3L,Automatic,2012,1300 CC,Kenyan Used,"KES 479,999"
Mazda Demio 1.3L,Automatic,2017,1300 CC,Foreign Used,"KES 1,299,999"
Audi SQ5 3.0L (TFSI) QUATTRO,Automatic,2017,3000 CC,Foreign Used,"KES 6,899,999"
Nissan Patrol LE 'Y62'  5.6L V8 / SUNROOF,Automatic,2016,5600 CC,Foreign Used,"KES 8,499,999"
Toyota Landcruiser 4.5L V8,Automatic,2014,4500 CC,Foreign Used,"KES 8,499,999"
Volkswagen Golf 1.2L TSI,Automatic,2011,1200 CC,Kenyan Used,"KES 769,999"
Mazda CX-5 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,649,999"
Lexus RX450H / SUNROOF,Automatic,2016,3500 CC,Foreign Used,"KES 7,199,999"
"Volvo XC60 T5 ""Inscription"" AWD",Automatic,2018,2000 CC,Foreign Used,"KES 5,799,999"
Toyota Passo,Automatic,2010,1000 CC,Kenyan Used,"KES 575,000"
Ford Escape XLT,Automatic,2006,3000 CC,Kenyan Used,"KES 749,999"
Volkswagen Golf Variant 1.4L TSI,Automatic,2013,1400 CC,Kenyan Used,"KES 1,149,999"
Nissan NV200,Automatic,2016,1500 CC,Foreign Used,"KES 1,849,999"
Suzuki Jimny 'Land Venture',Automatic,2016,660 CC,Foreign Used,"KES 1,549,999"
Audi A3,Automatic,2016,1400 CC,Foreign Used,"KES 2,349,999"
Toyota Rush,Automatic,2009,1500 CC,Kenyan Used,"KES 1,149,999"
BMW 320d 'F30',Automatic,2014,2000 CC,Kenyan Used,"KES 2,449,999"
Lexus RX350 / SUNROOF,Automatic,2008,3500 CC,Kenyan Used,"KES 2,249,999"
Toyota Avensis T3-X / MANUAL,Manual,2005,1800 CC,Kenyan Used,"KES 679,999"
Kawasaki Ninja 400cc,Automatic,2017,400 CC,Foreign Used,"KES 999,999"
Toyota Landcruiser Prado TX J150,Automatic,2012,2700 CC,Kenyan Used,"KES 3,349,999"
Jeep Cherokee Sport 2.5L,Automatic,2002,2500 CC,Kenyan Used,"KES 1,199,999"
Toyota Fielder WXB Hybrid,Automatic,2017,1800 CC,Foreign Used,"KES 2,199,999"
Toyota Probox,Automatic,2016,1500 CC,Foreign Used,"KES 1,289,999"
Volkswagen Tiguan 1.4TSI,Automatic,2017,1400 CC,Foreign Used,"KES 3,849,999"
Mercedes Benz E350 / SUNROOF,Automatic,2015,3000 CC,Kenyan Used,"KES 3,549,999"
"Toyota Landcruiser Prado ""TX"" J150",Automatic,2014,2700 CC,Kenyan Used,"KES 4,199,999"
Citreon C4 1.6 BlueHDi,Automatic,2017,1600 CC,Foreign Used,"KES 1,699,999"
Porsche Cayenne 3.6L V6 'Platinum Edition' with SUNROOF,Automatic,2015,3600 CC,Kenyan Used,"KES 6,499,999"
Volvo S60 T3,Automatic,2017,1600 CC,Foreign Used,"KES 2,399,999"
Honda Legend 3.5L V6 Hybrid,Automatic,2016,3500 CC,Foreign Used,"KES 3,549,999"
Subaru WRX S4,Automatic,2015,2000 CC,Kenyan Used,"KES 2,149,999"
Hyundai Santa Fe 2.2L Diesel / PANORAMIC SUNROOF,Automatic,2015,2200 CC,Kenyan Used,"KES 3,299,999"
Ford EcoSport Titanium,Automatic,2017,1500 CC,Kenyan Used,"KES 1,749,999"
Ford Ranger Limited 2.2L,Automatic,2016,2200 CC,Foreign Used,"KES 5,699,999"
Mazda Premacy 2.2L Diesel,Automatic,2012,2200 CC,Kenyan Used,"KES 1,099,999"
Toyota Landcruiser GXR 4.5L V8 / MANUAL,Automatic,2016,4500 CC,Kenyan Used,"KES 8,199,999"
Audi A4 2.0T QUATTRO,Automatic,2014,2000 CC,Kenyan Used,"KES 2,299,999"
Audi Q7 3.0L TDI,Automatic,2007,3000 CC,Kenyan Used,"KES 2,199,999"
Toyota Rush 4WD,Automatic,2013,1500 CC,Kenyan Used,"KES 1,199,999"
Toyota RAV4 2.5 HYBRID,Automatic,2021,2500 CC,Foreign Used,"KES 5,799,999"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,399,999"
Toyota Esquire,Automatic,2016,2000 CC,Foreign Used,"KES 2,599,999"
Nissan XTRAIL Mode-Premier Autech,Automatic,2016,2000 CC,Foreign Used,"KES 2,399,999"
Audi SQ5 3.0T V6 QUATTRO,Automatic,2018,3000 CC,Foreign Used,"KES 7,499,999"
Peugeot 308 GT '2.0L Diesel',Automatic,2017,2000 CC,Foreign Used,"KES 2,449,999"
Peugeot 2008,Automatic,2016,1200 CC,Foreign Used,"KES 1,999,999"
Mercedes Benz GLE 350d COUPE / SUNROOF,Automatic,2016,3000 CC,Foreign Used,"KES 9,999,999"
Subaru Levorg 1.6L,Automatic,2015,1600 CC,Kenyan Used,"KES 1,699,999"
Toyota Harrier,Automatic,2016,2000 CC,Foreign Used,"KES 3,749,999"
Mazda CX-5 2.5L,Automatic,2016,2500 CC,Foreign Used,"KES 2,849,999"
Ford Escape Limited/ SUNROOF,Automatic,2012,2300 CC,Kenyan Used,"KES 1,599,999"
"Mazda CX-5 ""2.0L NA""",Automatic,2018,2000 CC,Foreign Used,"KES 3,699,999"
Jeep Wrangler Unlimited Sport / 4WD WINCH,Automatic,2016,3600 CC,Foreign Used,"KES 6,799,999"
Mercedes Benz C250,Automatic,2015,2000 CC,Kenyan Used,"KES 3,799,999"
Toyota Wish,Automatic,2015,1800 CC,Kenyan Used,"KES 1,489,999"
"Nissan XTRAIL ""HNT32"" / SUNROOF",Automatic,2017,2000 CC,Foreign Used,"KES 2,579,999"
Landrover Discovery IV / 3-ZONE SUNROOFS,Automatic,2012,3000 CC,Kenyan Used,"KES 3,999,999"
Toyota Landcruiser VX-R,Automatic,2014,4500 CC,Kenyan Used,"KES 7,899,999"
Volkswagen Passat,Automatic,2011,1800 CC,Kenyan Used,"KES 1,149,999"
Mazda CX-3 1.5D,Automatic,2016,1500 CC,Foreign Used,"KES 2,099,999"
Audi SQ5 3.0T V6 QUATTRO/PANORAMIC SUNROOF,Automatic,2016,3000 CC,Foreign Used,"KES 5,599,999"
Toyota Vitz,Automatic,2016,1300 CC,Foreign Used,"KES 1,349,999"
Dodge Charger 3.6L V6,Automatic,2014,3600 CC,Kenyan Used,"KES 6,499,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,119,999"
Toyota Landcruiser Prado TX/SUNROOF,Automatic,2012,2700 CC,Kenyan Used,"KES 3,349,999"
Toyota Porte,Automatic,2016,1300 CC,Kenyan Used,"KES 1,199,999"
Mercedes Benz G350d with 'Brabus Bodykit',Automatic,2014,3000 CC,Kenyan Used,"KES 13,999,999"
SUBARU FORESTER 2.0 NON-TURBO,Automatic,2014,2000 CC,Kenyan Used,"KES 2,549,999"
Landrover Discovery IV 'XS SPEC',Automatic,2011,3000 CC,Kenyan Used,"KES 3,449,999"
Audi Q5 2.0T,Automatic,2017,2000 CC,Foreign Used,"KES 4,849,999"
Toyota Auris,Automatic,2016,1500 CC,Foreign Used,"KES 1,799,999"
Jeep Wrangler Unlimited SAHARA,Automatic,2012,3600 CC,Kenyan Used,"KES 2,999,999"
Toyota Harrier,Automatic,2017,2000 CC,Foreign Used,"KES 3,899,999"
Nissan Serena,Automatic,2018,2000 CC,Kenyan Used,"KES 1,949,999"
Toyota Porte,Automatic,2014,1300 CC,Kenyan Used,"KES 849,999"
Nissan Note DIG-S,Automatic,2016,1200 CC,Foreign Used,"KES 1,099,999"
Nissan Wingroad,Automatic,2007,1500 CC,Kenyan Used,"KES 465,000"
Mazda CX-5 2.2D AWD,Automatic,2017,2200 CC,Foreign Used,"KES 3,199,999"
Peugeot 208,Automatic,2018,1200 CC,Foreign Used,"KES 1,419,999"
Toyota Prius 'Hybrid Synergy',Automatic,2010,1800 CC,Kenyan Used,"KES 859,999"
Nissan DAYZ,Automatic,2016,660 CC,Foreign Used,"KES 849,999"
Nissan DAYZ,Automatic,2016,660 CC,Foreign Used,"KES 799,999"
Jeep Grand Cherokee 3.6 LIMITED 4×4 / PANORAMIC SUNROOF,Automatic,2017,3600 CC,Foreign Used,"KES 5,999,999"
Subaru Legacy B4,Automatic,2016,2500 CC,Foreign Used,"KES 2,249,999"
Mitsubishi RVR,Automatic,2011,1800 CC,Kenyan Used,"KES 1,299,999"
BMW X6 XDrive M50d 'N57' Tri-Turbo,Automatic,2013,3000 CC,Kenyan Used,"KES 3,499,999"
Subaru Legacy,Automatic,2010,2500 CC,Kenyan Used,"KES 1,049,999"
BMW X3 XDrive 25i,Automatic,2010,2500 CC,Kenyan Used,"KES 1,799,999"
"Toyota Fielder ""S"" AeroTourer",Automatic,2012,1800 CC,Kenyan Used,"KES 1,349,999"
Renault KADJAR,Automatic,2016,1200 CC,Kenyan Used,"KES 2,499,999"
Toyota Landcruiser Prado TX,Automatic,2013,2700 CC,Kenyan Used,"KES 3,499,999"
Nissan Sunny B15,Automatic,2004,1500 CC,Kenyan Used,"KES 355,000"
Porsche Cayenne 3.0 V6 'Typ 92A',Automatic,2016,3000 CC,Foreign Used,"KES 6,999,999"
Volvo V40 T5 R-Design,Automatic,2017,2500 CC,Foreign Used,"KES 2,699,999"
Volkswagen Golf GTI MK7.5 / SUNROOF,Automatic,2018,2000 CC,Foreign Used,"KES 3,699,999"
Volkswagen Golf GTI MK7 / SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 3,249,999"
Audi A4 B9 QUATTRO ALLROAD SPEC,Automatic,2017,2000 CC,Foreign Used,"KES 4,499,999"
Toyota Fielder X G-Edition,Automatic,2008,1500 CC,Kenyan Used,"KES 829,999"
Volkswagen UP!,Automatic,2016,1000 CC,Foreign Used,"KES 1,599,999"
Audi A5,Automatic,2013,2000 CC,Kenyan Used,"KES 2,299,999"
Volkswagen Golf GTI,Automatic,2015,2000 CC,Kenyan Used,"KES 2,449,999"
Volvo V60 D4 R-Design,Automatic,2016,2000 CC,Foreign Used,"KES 2,599,999"
Toyota Celica,Manual,1999,1800 CC,Kenyan Used,"KES 865,000"
Mercedes Benz C200 /SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 4,699,999"
Toyota Probox,Automatic,2015,1500 CC,Kenyan Used,"KES 1,119,999"
Mercedes Benz E250,Automatic,2014,2000 CC,Kenyan Used,"KES 2,999,999"
Toyota Mark X,Automatic,2010,2500 CC,Kenyan Used,"KES 1,299,999"
Toyota Vitz,Automatic,2015,1300 CC,Foreign Used,"KES 1,449,999"
Nissan Note,Automatic,2011,1200 CC,Kenyan Used,"KES 719,999"
Nissan Note Medalist,Automatic,2016,1200 CC,Foreign Used,"KES 1,299,999"
Subaru Forester,Automatic,2016,2000 CC,Foreign Used,"KES 3,649,999"
Renault Duster,Automatic,2017,1600 CC,Kenyan Used,"KES 1,449,999"
Lexus NX200t/SUNROOF,Automatic,2015,2000 CC,Foreign Used,"KES 5,149,999"
Toyota Landcruiser Prado J120,Automatic,2005,3000 CC,Kenyan Used,"KES 1,799,999"
Mercedes Benz GLC 250,Automatic,2016,2000 CC,Foreign Used,"KES 6,349,999"
Subaru Forester 2.0 NA,Automatic,2016,2000 CC,Foreign Used,"KES 3,249,999"
Volvo XC60 D4 'Classic' /SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 3,749,999"
RANGE ROVER SPORT 3.0L SDV6 / PANO SUNROOF,Automatic,2016,3000 CC,Foreign Used,"KES 9,699,999"
Toyota Probox,Automatic,2016,1500 CC,Foreign Used,"KES 1,149,999"
Citroën DS4 1.6 Turbo,Automatic,2017,1600 CC,Foreign Used,"KES 2,149,999"
Audi A5,Automatic,2016,2000 CC,Foreign Used,"KES 3,349,999"
"BMW 740i ""G11"" PURE EXCELLENCE",Automatic,2017,3000 CC,Foreign Used,"KES 7,799,999"
Peugeot 2008 GT-Line,Automatic,2017,1200 CC,Foreign Used,"KES 1,999,999"
Audi A3,Automatic,2016,1400 CC,Foreign Used,"KES 2,599,999"
Toyota Landcruiser Prado TX,Automatic,2009,2700 CC,Kenyan Used,"KES 2,899,999"
Nissan Note e-Power,Automatic,2017,1200 CC,Foreign Used,"KES 1,149,999"
Range Rover Vogue 3.0L TDV6 HSE,Automatic,2013,3000 CC,Kenyan Used,"KES 8,849,999"
Mercedes Benz ML350 / PANORAMIC SUNROOF,Automatic,2014,3000 CC,Kenyan Used,"KES 5,649,999"
Audi A5,Automatic,2016,2000 CC,Foreign Used,"KES 3,599,999"
Volkswagen Tiguan 1.4TSI,Automatic,2016,1400 CC,Kenyan Used,"KES 2,899,999"
Mitsubishi Canter,Automatic,2014,3000 CC,Kenyan Used,"KES 2,149,999"
Mazda MPV,Automatic,2013,2300 CC,Kenyan Used,"KES 1,049,999"
Jeep Grand Cherokee 3.6 LIMITED / PANORAMIC SUNROOF,Automatic,2014,3600 CC,Kenyan Used,"KES 3,849,999"
Audi A1,Automatic,2015,1000 CC,Foreign Used,"KES 1,749,999"
Mercedes Benz ML250,Automatic,2014,2100 CC,Kenyan Used,"KES 4,899,999"
Toyota Belta,Automatic,2012,1300 CC,Kenyan Used,"KES 799,999"
Mazda Atenza 2.5L,Automatic,2016,2500 CC,Foreign Used,"KES 2,499,999"
Ford Ranger 3.2L,Automatic,2013,3200 CC,Kenyan Used,"KES 2,899,999"
Nissan DAYZ,Automatic,2016,660 CC,Foreign Used,"KES 869,999"
Audi Q3 2.0L Quattro,Automatic,2016,2000 CC,Foreign Used,"KES 3,699,999"
Nissan NV200,Automatic,2016,1500 CC,Kenyan Used,"KES 1,199,999"
Toyota Harrier 'Elegance',Automatic,2017,2000 CC,Foreign Used,"KES 3,299,999"
Volkswagen Golf TSI 1.2L,Automatic,2012,1200 CC,Kenyan Used,"KES 949,999"
Honda Fit Shuttle Hybrid,Automatic,2017,1500 CC,Foreign Used,"KES 1,789,999"
Renault Lutecia,Automatic,2016,1200 CC,Foreign Used,"KES 1,399,999"
Volkswagen Golf TSI 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 1,999,999"
Subaru Legacy,Automatic,2011,2500 CC,Kenyan Used,"KES 1,349,999"
Volvo S60 T3,Automatic,2017,1500 CC,Foreign Used,"KES 2,449,999"
BMW X4 XDrive 28i 'BLACKOUT EDITION' / SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 5,349,999"
Audi A5,Automatic,2017,2000 CC,Foreign Used,"KES 4,599,999"
Audi A7 2.0T SPORTBACK QUATTRO,Automatic,2017,2000 CC,Foreign Used,"KES 4,749,999"
Audi Q5 2.0T S-LINE QUATTRO,Automatic,2017,2000 CC,Foreign Used,"KES 5,199,999"
"BMW X4 ""F26"" XDrive 28i M-Sport",Automatic,2017,2000 CC,Foreign Used,"KES 5,199,999"
Isuzu Trooper / MANUAL,Manual,1989,2800 CC,Kenyan Used,"KES 919,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,129,999"
BMW X3 XDrive 20d M-SPORT,Automatic,2016,2000 CC,Foreign Used,"KES 3,449,999"
Audi Q5 2.0T QUATTRO S-LINE 'Typ 80A',Automatic,2017,2000 CC,Foreign Used,"KES 5,349,999"
Volkswagen Golf TSI 1.2L,Automatic,2016,1200 CC,Kenyan Used,"KES 1,649,999"
Mazda Demio 1.5L,Automatic,2016,1500 CC,Foreign Used,"KES 1,329,999"
