Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Toyota Hilux,Toyota,Hilux,Manual,2400.0,2016,8,Kenyan Used,3199999.0,3M-5M
Audi S3,Audi,S3,Automatic,2000.0,2017,7,Foreign Used,3449999.0,3M-5M
Mitsubishi Triton,Mitsubishi,Triton,Automatic,2500.0,2019,5,Foreign Used,5599999.0,5M-10M
Volkswagen Golf Tsi,Volkswagen,Golf Tsi,Automatic,1200.0,2012,12,Kenyan Used,899999.0,500k-1M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2007,17,Kenyan Used,679999.0,500k-1M
Smart Forfour,Smart,Forfour,Automatic,900.0,2015,9,Kenyan Used,1749999.0,1M-2M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2014,10,Kenyan Used,1349999.0,1M-2M
Jeep Renegade,Jeep,Renegade,Automatic,1400.0,2017,7,Foreign Used,2299999.0,2M-3M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2015,9,Kenyan Used,1399999.0,1M-2M
Toyota Allion,Toyota,Allion,Automatic,1800.0,2005,19,Kenyan Used,849999.0,500k-1M
Nissan Wingroad,Nissan,Wingroad,Automatic,1500.0,2012,12,Kenyan Used,679999.0,500k-1M
Mercedes Benz Cla 250,Mercedes Benz,Cla 250,Automatic,2000.0,2014,10,Kenyan Used,2299999.0,2M-3M
Nissan Note,Nissan,Note,Automatic,1200.0,2017,7,Foreign Used,1499999.0,1M-2M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2015,9,Kenyan Used,2299999.0,2M-3M
Toyota Wish,Toyota,Wish,Automatic,1800.0,2011,13,Kenyan Used,1049999.0,1M-2M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,1800.0,2013,11,Kenyan Used,3099999.0,3M-5M
Peugeot 2008,Peugeot,2008,Automatic,1200.0,2017,7,Foreign Used,2099999.0,2M-3M
Honda Fit,Honda,Fit,Automatic,1500.0,2012,12,Kenyan Used,729999.0,500k-1M
Ford Ranger,Ford,Ranger,Automatic,3200.0,2017,7,Foreign Used,4649999.0,3M-5M
Range Rover Sport,Range Rover,Sport,Automatic,3000.0,2013,11,Kenyan Used,5999999.0,5M-10M
Volkswagen Passat,Volkswagen,Passat,Automatic,1800.0,2012,12,Kenyan Used,1349999.0,1M-2M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2014,10,Kenyan Used,2499999.0,2M-3M
Peugeot 308,Peugeot,308,Automatic,1200.0,2016,8,Foreign Used,1599999.0,1M-2M
Honda Fit,Honda,Fit,Automatic,1500.0,2014,10,Kenyan Used,1059999.0,1M-2M
Toyota Hiace,Toyota,Hiace,Automatic,3000.0,2010,14,Kenyan Used,999999.0,500k-1M
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,4649999.0,3M-5M
Mercedes Benz Glc 250,Mercedes Benz,Glc 250,Automatic,2000.0,2017,7,Foreign Used,6599999.0,5M-10M
Mazda Cx8,Mazda,Cx8,Automatic,2200.0,2018,6,Foreign Used,3949999.0,3M-5M
Peugeot 208,Peugeot,208,Automatic,1200.0,2016,8,Foreign Used,1379999.0,1M-2M
