Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Ford Ranger 3.2L,Ford,Ranger 3.2L,Manual,3200.0,2014,10,Kenyan Used,2999999.0,2M-3M
Volvo V40 T3,Volvo,V40 T3,Automatic,1600.0,2014,10,Kenyan Used,1679999.0,1M-2M
Toyota Fortuner,Toyota,Fortuner,Automatic,3000.0,2015,9,Kenyan Used,4499999.0,3M-5M
Bmw X1,Bmw,X1,Automatic,1500.0,2016,8,Foreign Used,3899999.0,3M-5M
Audi A3,Audi,A3,Automatic,1400.0,2016,8,Foreign Used,2099999.0,2M-3M
Audi Sq5 3.0T Quattro,Audi,Sq5 3.0T Quattro,Automatic,3000.0,2016,8,Foreign Used,5099999.0,5M-10M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2015,9,Kenyan Used,2499999.0,2M-3M
Volvo Xc60 T5,Volvo,Xc60 T5,Automatic,2000.0,2011,13,Kenyan Used,2149999.0,2M-3M
Toyota Landcruiser Prado Tz-G,Toyota,Landcruiser Prado Tz-G,Automatic,2800.0,2015,9,Kenyan Used,5849999.0,5M-10M
Suzuki Escudo,Suzuki,Escudo,Automatic,1600.0,2014,10,Kenyan Used,1949999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2800.0,2016,8,Foreign Used,7299999.0,5M-10M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2016,8,Foreign Used,3349999.0,3M-5M
Jeep Wrangler,Jeep,Wrangler,Automatic,3600.0,2016,8,Foreign Used,5299999.0,5M-10M
Toyota Hiace,Toyota,Hiace,Automatic,3000.0,2015,9,Kenyan Used,2649999.0,2M-3M
Toyota Crown Royal Saloon,Toyota,Crown Royal Saloon,Automatic,2500.0,2016,8,Foreign Used,2999999.0,2M-3M
Mercedes Benz C180,Mercedes Benz,C180,Automatic,1600.0,2015,9,Kenyan Used,2999999.0,2M-3M
Mercedes Benz C250,Mercedes Benz,C250,Automatic,2000.0,2016,8,Foreign Used,3999999.0,3M-5M
Bmw X1,Bmw,X1,Automatic,2000.0,2016,8,Foreign Used,3199999.0,3M-5M
Bmw X5 Xdrive 30I,Bmw,X5 Xdrive 30I,Automatic,3000.0,2009,15,Kenyan Used,2849999.0,2M-3M
Suzuki Escudo,Suzuki,Escudo,Automatic,1600.0,2016,8,Kenyan Used,2149999.0,2M-3M
Bmw X5 3.0D,Bmw,X5 3.0D,Automatic,3000.0,2006,18,Kenyan Used,1469999.0,1M-2M
Mercedes Benz Gle350D,Mercedes Benz,Gle350D,Automatic,3000.0,2017,7,Foreign Used,8999999.0,5M-10M
Nissan Bluebird,Nissan,Bluebird,Automatic,2000.0,2008,16,Kenyan Used,599999.0,500k-1M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2013,11,Kenyan Used,1829999.0,1M-2M
Lexus Rx450H,Lexus,Rx450H,Automatic,3500.0,2009,15,Kenyan Used,1849999.0,1M-2M
Suzuki S Cross,Suzuki,S Cross,Automatic,1600.0,2017,7,Foreign Used,2449999.0,2M-3M
Toyota Wish,Toyota,Wish,Automatic,1800.0,2011,13,Kenyan Used,1099999.0,1M-2M
Toyota Ipsum,Toyota,Ipsum,Automatic,2400.0,2003,21,Kenyan Used,649999.0,500k-1M
Mazda Cx3,Mazda,Cx3,Automatic,2000.0,2017,7,Foreign Used,2699999.0,2M-3M
Subaru Forester Xt / Sunroof,Subaru,Forester Xt / Sunroof,Automatic,2000.0,2016,8,Foreign Used,3479999.0,3M-5M
Toyota Premio,Toyota,Premio,Automatic,1800.0,2005,19,Kenyan Used,859999.0,500k-1M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2016,8,Foreign Used,2549999.0,2M-3M
Mitsubishi Delica,Mitsubishi,Delica,Manual,1200.0,1979,45,Kenyan Used,399999.0,0-500k
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,1400.0,2017,7,Foreign Used,3749999.0,3M-5M
Bmw X3,Bmw,X3,Automatic,2000.0,2017,7,Foreign Used,4599999.0,3M-5M
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,4499999.0,3M-5M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2008,16,Kenyan Used,749999.0,500k-1M
Subaru Forester Xt With Roof Cargo Kit,Subaru,Forester Xt With Roof Cargo Kit,Automatic,2000.0,2014,10,Kenyan Used,2379999.0,2M-3M
Subaru Legacy 2.0L,Subaru,Legacy 2.0L,Automatic,2000.0,2007,17,Kenyan Used,729999.0,500k-1M
"Bmw X5 Xdrive35D ""F15"" / Pano Sunroof",Bmw,"X5 Xdrive35D ""F15"" / Pano Sunroof",Automatic,3000.0,2013,11,Kenyan Used,4399999.0,3M-5M
Volkswagen Polo,Volkswagen,Polo,Automatic,1200.0,2011,13,Kenyan Used,789999.0,500k-1M
Range Rover Evoque,Range Rover,Evoque,Automatic,2200.0,2017,7,Foreign Used,5299999.0,5M-10M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2015,9,Kenyan Used,3449999.0,3M-5M
Hyundai Sante Fe,Hyundai,Sante Fe,Automatic,2200.0,2017,7,Foreign Used,3999999.0,3M-5M
Audi Q5,Audi,Q5,Automatic,2000.0,2016,8,Foreign Used,4299999.0,3M-5M
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,1400.0,2014,10,Kenyan Used,2349999.0,2M-3M
Jincheng Jc400 5,Jincheng,Jc400 5,Manual,400.0,2021,3,Kenyan Used,299999.0,0-500k
Yamaha Wolverine,Yamaha,Wolverine,Automatic,350.0,2003,21,Kenyan Used,299999.0,0-500k
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2017,7,Foreign Used,4699999.0,3M-5M
Range Rover Evoque Sd4,Range Rover,Evoque Sd4,Automatic,2200.0,2012,12,Kenyan Used,3599999.0,3M-5M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2016,8,Foreign Used,2599999.0,2M-3M
Toyota Vanguard,Toyota,Vanguard,Automatic,2400.0,2010,14,Kenyan Used,1649999.0,1M-2M
Volkswagen Golf Gt,Volkswagen,Golf Gt,Automatic,1400.0,2010,14,Kenyan Used,799999.0,500k-1M
Mazda Bongo,Mazda,Bongo,Automatic,1500.0,2012,12,Kenyan Used,799999.0,500k-1M
Range Rover Vogue 3.0 Tdv6 Se,Range Rover,Vogue 3.0 Tdv6 Se,Automatic,3000.0,2013,11,Kenyan Used,9699999.0,5M-10M
Toyota Royal Crown I-Four,Toyota,Royal Crown I-Four,Automatic,2500.0,2016,8,Foreign Used,2849999.0,2M-3M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2016,8,Foreign Used,2899999.0,2M-3M
Honda Stepwagon,Honda,Stepwagon,Automatic,2000.0,2015,9,Kenyan Used,1699999.0,1M-2M
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2018,6,Foreign Used,5449999.0,5M-10M
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2018,6,Foreign Used,5249999.0,5M-10M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2016,8,Kenyan Used,4199999.0,3M-5M
Mitsubishi  Ek Wagon,Mitsubishi, Ek Wagon,Automatic,660.0,2017,7,Foreign Used,789999.0,500k-1M
Mitsubishi Outlander Phev,Mitsubishi,Outlander Phev,Automatic,2000.0,2016,8,Foreign Used,3499999.0,3M-5M
Nissan Latio,Nissan,Latio,Automatic,1200.0,2015,9,Foreign Used,1169999.0,1M-2M
Bmw X1,Bmw,X1,Automatic,1500.0,2016,8,Foreign Used,3399999.0,3M-5M
Nissan Sylphy,Nissan,Sylphy,Automatic,1800.0,2013,11,Kenyan Used,1079999.0,1M-2M
Smart Forfour,Smart,Forfour,Automatic,900.0,2017,7,Foreign Used,2839999.0,2M-3M
Audi A6 2.8L Fsi Quattro C7 S-Line,Audi,A6 2.8L Fsi Quattro C7 S-Line,Automatic,2800.0,2015,9,Kenyan Used,2999999.0,2M-3M
Toyota Premio 260,Toyota,Premio 260,Automatic,1800.0,2014,10,Kenyan Used,1749999.0,1M-2M
Mercedes Benz C180,Mercedes Benz,C180,Automatic,1600.0,2014,10,Kenyan Used,2999999.0,2M-3M
Volkswagen Touareg 3.6L V6,Volkswagen,Touareg 3.6L V6,Automatic,3600.0,2011,13,Kenyan Used,2499999.0,2M-3M
Volkswagen Citi Golf 1.4I,Volkswagen,Citi Golf 1.4I,Automatic,1400.0,2002,22,Kenyan Used,399999.0,0-500k
Mitsubishi Outlander Phev,Mitsubishi,Outlander Phev,Automatic,2000.0,2015,9,Kenyan Used,2899999.0,2M-3M
Mercedes Benz Ml350 / Sunroof,Mercedes Benz,Ml350 / Sunroof,Automatic,3500.0,2009,15,Kenyan Used,1699999.0,1M-2M
"Toyota Liteace Gl ""S402""",Toyota,"Liteace Gl ""S402""",Automatic,1500.0,2016,8,Kenyan Used,999999.0,500k-1M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2018,6,Foreign Used,1969999.0,1M-2M
Bmw X1,Bmw,X1,Automatic,1500.0,2017,7,Foreign Used,3299999.0,3M-5M
Volvo V40 T5 Awd 'Cross-Country' Spec,Volvo,V40 T5 Awd 'Cross-Country' Spec,Automatic,2000.0,2015,9,Kenyan Used,1849999.0,1M-2M
Honda Fit,Honda,Fit,Automatic,1300.0,2016,8,Foreign Used,1449999.0,1M-2M
Nissan Teana Xl,Nissan,Teana Xl,Automatic,2500.0,2016,8,Kenyan Used,1599999.0,1M-2M
Volvo Xc60 D4,Volvo,Xc60 D4,Automatic,2000.0,2016,8,Foreign Used,2699999.0,2M-3M
Audi Q5 2.0T,Audi,Q5 2.0T,Automatic,2000.0,2016,8,Foreign Used,4349999.0,3M-5M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2009,15,Kenyan Used,2499999.0,2M-3M
Audi Q5 2.0T Quattro S-Line,Audi,Q5 2.0T Quattro S-Line,Automatic,2000.0,2017,7,Foreign Used,4549999.0,3M-5M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2016,8,Kenyan Used,5299999.0,5M-10M
"Bmw 320I ""F30""",Bmw,"320I ""F30""",Automatic,2000.0,2013,11,Kenyan Used,1899999.0,1M-2M
Peugeot 3008,Peugeot,3008,Automatic,1600.0,2017,7,Foreign Used,3099999.0,3M-5M
Lexus Rx450H,Lexus,Rx450H,Automatic,3500.0,2008,16,Kenyan Used,1299999.0,1M-2M
Toyota Hilux D Cab,Toyota,Hilux D Cab,Automatic,2500.0,2016,8,Kenyan Used,4599999.0,3M-5M
Subaru Legacy,Subaru,Legacy,Automatic,2500.0,2015,9,Kenyan Used,1599999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2016,8,Foreign Used,5499999.0,5M-10M
Audi Q5,Audi,Q5,Automatic,2000.0,2014,10,Kenyan Used,2399999.0,2M-3M
Smart Fortwo,Smart,Fortwo,Automatic,900.0,2017,7,Foreign Used,2249999.0,2M-3M
Smart Fortwo,Smart,Fortwo,Automatic,900.0,2017,7,Foreign Used,2999999.0,2M-3M
Smart Fortwo,Smart,Fortwo,Automatic,900.0,2016,8,Foreign Used,2599999.0,2M-3M
Mitsubishi Outlander / 7 Seats,Mitsubishi,Outlander / 7 Seats,Automatic,2400.0,2018,6,Foreign Used,3799999.0,3M-5M
Mazda Cx5,Mazda,Cx5,Automatic,2500.0,2018,6,Foreign Used,3649999.0,3M-5M
"Honda Vezel ""Rs"" Hybrid",Honda,"Vezel ""Rs"" Hybrid",Automatic,1500.0,2017,7,Foreign Used,3149999.0,3M-5M
Mercedes Benz Gle 350D,Mercedes Benz,Gle 350D,Automatic,3000.0,2016,8,Foreign Used,9499999.0,5M-10M
Bmw X3 Xdrive 20D M-Sport / Panoramic Sunroof,Bmw,X3 Xdrive 20D M-Sport / Panoramic Sunroof,Automatic,2000.0,2016,8,Foreign Used,4299999.0,3M-5M
Toyota Ch-R,Toyota,Ch-R,Automatic,1800.0,2016,8,Foreign Used,3499999.0,3M-5M
Subaru Legacy B4 / Sunroof,Subaru,Legacy B4 / Sunroof,Automatic,2500.0,2016,8,Foreign Used,2349999.0,2M-3M
Nissan Vanette,Nissan,Vanette,Automatic,1800.0,2009,15,Kenyan Used,599999.0,500k-1M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2016,8,Foreign Used,2799999.0,2M-3M
Nissan Teana Xl,Nissan,Teana Xl,Automatic,2500.0,2014,10,Kenyan Used,1389999.0,1M-2M
Toyota Voxy,Toyota,Voxy,Automatic,2000.0,2016,8,Foreign Used,2199999.0,2M-3M
Toyota Fj Cruiser,Toyota,Fj Cruiser,Automatic,4000.0,2011,13,Kenyan Used,3299999.0,3M-5M
Peugeot 508 1.6L,Peugeot,508 1.6L,Automatic,1600.0,2013,11,Kenyan Used,1429999.0,1M-2M
Mazda Cx5,Mazda,Cx5,Automatic,2000.0,2014,10,Kenyan Used,2349999.0,2M-3M
Nissan Note,Nissan,Note,Automatic,1200.0,2013,11,Kenyan Used,689999.0,500k-1M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2013,11,Kenyan Used,3399999.0,3M-5M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2010,14,Kenyan Used,1099999.0,1M-2M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2016,8,Kenyan Used,899999.0,500k-1M
Volvo V60 T5,Volvo,V60 T5,Automatic,2000.0,2017,7,Foreign Used,2499999.0,2M-3M
Volkswagen Golf Tsi 1.4L,Volkswagen,Golf Tsi 1.4L,Automatic,1400.0,2015,9,Kenyan Used,1749999.0,1M-2M
Nissan Sylphy,Nissan,Sylphy,Automatic,1800.0,2014,10,Kenyan Used,1249999.0,1M-2M
Mercedes Benz E220D,Mercedes Benz,E220D,Automatic,2200.0,2016,8,Foreign Used,3449999.0,3M-5M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2016,8,Kenyan Used,2999999.0,2M-3M
Nissan Note Dig-S,Nissan,Note Dig-S,Automatic,1200.0,2013,11,Kenyan Used,779999.0,500k-1M
Mitsubishi Pajero Sport,Mitsubishi,Pajero Sport,Automatic,2400.0,2017,7,Foreign Used,5649999.0,5M-10M
Bmw X1,Bmw,X1,Automatic,2000.0,2012,12,Kenyan Used,1549999.0,1M-2M
"Toyota Fielder 1.5 ""G""",Toyota,"Fielder 1.5 ""G""",Automatic,1500.0,2016,8,Kenyan Used,1889999.0,1M-2M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2014,10,Kenyan Used,3649999.0,3M-5M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2016,8,Foreign Used,3499999.0,3M-5M
Mazda Demio,Mazda,Demio,Automatic,1500.0,2016,8,Foreign Used,1249999.0,1M-2M
Toyota Premio 1.8L,Toyota,Premio 1.8L,Automatic,1800.0,2012,12,Kenyan Used,1399999.0,1M-2M
Jeep Wrangler,Jeep,Wrangler,Automatic,3600.0,2017,7,Foreign Used,5599999.0,5M-10M
Nissan Sylphy,Nissan,Sylphy,Automatic,1800.0,2016,8,Kenyan Used,1189999.0,1M-2M
Volvo Xc90,Volvo,Xc90,Automatic,2000.0,2017,7,Foreign Used,6599999.0,5M-10M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2017,7,Kenyan Used,2599999.0,2M-3M
Subaru Outback / Sunroof,Subaru,Outback / Sunroof,Automatic,2500.0,2010,14,Kenyan Used,1249999.0,1M-2M
Honda Fit,Honda,Fit,Automatic,1300.0,2012,12,Kenyan Used,699999.0,500k-1M
Toyota Landcruiser Prado Tz-G,Toyota,Landcruiser Prado Tz-G,Automatic,4000.0,2010,14,Kenyan Used,3999999.0,3M-5M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2016,8,Foreign Used,2399999.0,2M-3M
Toyota Probox,Toyota,Probox,Automatic,1500.0,2013,11,Kenyan Used,989999.0,500k-1M
Mazda Cx3,Mazda,Cx3,Automatic,1500.0,2016,8,Kenyan Used,2149999.0,2M-3M
Subaru Levorg 1.6L,Subaru,Levorg 1.6L,Automatic,1600.0,2016,8,Kenyan Used,1779999.0,1M-2M
Bmw 320I 2.2L,Bmw,320I 2.2L,Automatic,2200.0,2002,22,Kenyan Used,629999.0,500k-1M
Audi Q3 2.0T Quattro S-Line,Audi,Q3 2.0T Quattro S-Line,Automatic,2000.0,2014,10,Kenyan Used,2799999.0,2M-3M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2015,9,Kenyan Used,3249999.0,3M-5M
Subaru Impreza G4,Subaru,Impreza G4,Automatic,2000.0,2013,11,Kenyan Used,1149999.0,1M-2M
Smart Fortwo,Smart,Fortwo,Automatic,900.0,2017,7,Foreign Used,2699999.0,2M-3M
Audi A3,Audi,A3,Automatic,1800.0,2016,8,Kenyan Used,1999999.0,1M-2M
Toyota Landcruiser Prado Vx-L,Toyota,Landcruiser Prado Vx-L,Automatic,2800.0,2016,8,Kenyan Used,7499999.0,5M-10M
Porsche Cayenne,Porsche,Cayenne,Automatic,2900.0,2019,5,Kenyan Used,14499999.0,Above 10
Mazda Cx5,Mazda,Cx5,Automatic,2500.0,2016,8,Kenyan Used,2649999.0,2M-3M
Mazda Atenza,Mazda,Atenza,Automatic,2500.0,2016,8,Foreign Used,2849999.0,2M-3M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2016,8,Foreign Used,2199999.0,2M-3M
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,5599999.0,5M-10M
Honda Jade,Honda,Jade,Automatic,1500.0,2016,8,Foreign Used,2149999.0,2M-3M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2016,8,Foreign Used,3749999.0,3M-5M
Ford Kuga Titanium,Ford,Kuga Titanium,Automatic,1600.0,2014,10,Kenyan Used,1199999.0,1M-2M
Nissan Xtrail,Nissan,Xtrail,Automatic,2000.0,2016,8,Foreign Used,2999999.0,2M-3M
"Nissan Xtrail ""Nt32""",Nissan,"Xtrail ""Nt32""",Automatic,2000.0,2014,10,Kenyan Used,1799999.0,1M-2M
Bmw 523I,Bmw,523I,Automatic,2000.0,2014,10,Kenyan Used,2399999.0,2M-3M
"Bmw X6 ""F16"" Xdrive 35I",Bmw,"X6 ""F16"" Xdrive 35I",Automatic,3000.0,2017,7,Foreign Used,5699999.0,5M-10M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2007,17,Kenyan Used,859999.0,500k-1M
Bmw 318I,Bmw,318I,Automatic,2000.0,2005,19,Kenyan Used,589999.0,500k-1M
Mercedes Benz A180,Mercedes Benz,A180,Automatic,1600.0,2015,9,Kenyan Used,1999999.0,1M-2M
Volkswagen Touareg Hybrid,Volkswagen,Touareg Hybrid,Automatic,3000.0,2011,13,Kenyan Used,2749999.0,2M-3M
Mazda Cx-5 2.5L Awd,Mazda,Cx-5 2.5L Awd,Automatic,2500.0,2017,7,Foreign Used,3599999.0,3M-5M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,4000.0,2006,18,Kenyan Used,1999999.0,1M-2M
Mercedes Benz C200 Kompressor,Mercedes Benz,C200 Kompressor,Automatic,1800.0,2009,15,Kenyan Used,1549999.0,1M-2M
Subaru Outback,Subaru,Outback,Automatic,2500.0,2006,18,Kenyan Used,819999.0,500k-1M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2016,8,Foreign Used,1299999.0,1M-2M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2017,7,Foreign Used,3449999.0,3M-5M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2800.0,2019,5,Foreign Used,9699999.0,5M-10M
Suzuki Swift Sport 1.6,Suzuki,Swift Sport 1.6,Automatic,1600.0,2016,8,Foreign Used,1499999.0,1M-2M
Toyota Voxy,Toyota,Voxy,Automatic,2000.0,2016,8,Foreign Used,2699999.0,2M-3M
Range Rover Classic 3.5L V8,Range Rover,Classic 3.5L V8,Manual,3500.0,1981,43,Kenyan Used,1149999.0,1M-2M
Mazda Cx-5 2.2D Awd,Mazda,Cx-5 2.2D Awd,Automatic,2200.0,2017,7,Foreign Used,3349999.0,3M-5M
Mercedes Benz C200 / Panoramic Sunroof,Mercedes Benz,C200 / Panoramic Sunroof,Automatic,2000.0,2016,8,Foreign Used,4449999.0,3M-5M
Volkswagen Golf 1.4L Tsi,Volkswagen,Golf 1.4L Tsi,Automatic,1400.0,2016,8,Foreign Used,1949999.0,1M-2M
Volkswagen Golf Tsi 1.4L,Volkswagen,Golf Tsi 1.4L,Automatic,1400.0,2016,8,Foreign Used,1999999.0,1M-2M
Land Rover Discovery Iv,Land Rover,Discovery Iv,Automatic,3000.0,2012,12,Kenyan Used,3999999.0,3M-5M
"Jeep Compass ""Mk49""",Jeep,"Compass ""Mk49""",Automatic,2000.0,2016,8,Kenyan Used,2799999.0,2M-3M
Mazda Cx-5 2.2D Awd,Mazda,Cx-5 2.2D Awd,Automatic,2200.0,2017,7,Kenyan Used,3099999.0,3M-5M
Mazda Demio,Mazda,Demio,Automatic,1300.0,2014,10,Kenyan Used,969999.0,500k-1M
Toyota Premio,Toyota,Premio,Automatic,1800.0,2009,15,Kenyan Used,999999.0,500k-1M
Porsche Cayenne 3.0L V6 / Panoramic Sunroof,Porsche,Cayenne 3.0L V6 / Panoramic Sunroof,Automatic,3000.0,2013,11,Kenyan Used,3999999.0,3M-5M
Range Rover Evoque,Range Rover,Evoque,Automatic,2000.0,2013,11,Kenyan Used,3349999.0,3M-5M
Isuzu Frr,Isuzu,Frr,Automatic,5200.0,2021,3,Kenyan Used,5399999.0,5M-10M
Volkswagen Golf Variant  R-Line 1.4L Tsi,Volkswagen,Golf Variant  R-Line 1.4L Tsi,Automatic,1400.0,2014,10,Kenyan Used,1599999.0,1M-2M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2015,9,Kenyan Used,1099999.0,1M-2M
"Toyota Landcruiser ""Zx"" / Sunroof/ 8 Seat Occupancy",Toyota,"Landcruiser ""Zx"" / Sunroof/ 8 Seat Occupancy",Automatic,4600.0,2016,8,Kenyan Used,8899999.0,5M-10M
Nissan Skyline,Nissan,Skyline,Automatic,2500.0,2011,13,Kenyan Used,999999.0,500k-1M
Toyota Landcruiser Prado J120,Toyota,Landcruiser Prado J120,Automatic,2700.0,2006,18,Kenyan Used,2099999.0,2M-3M
Subaru Legacy B4,Subaru,Legacy B4,Automatic,2500.0,2016,8,Foreign Used,2629999.0,2M-3M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,2000.0,2016,8,Foreign Used,3949999.0,3M-5M
Toyota Fielder,Toyota,Fielder,Automatic,1500.0,2016,8,Kenyan Used,1599999.0,1M-2M
Nissan Juke,Nissan,Juke,Automatic,1500.0,2014,10,Kenyan Used,1349999.0,1M-2M
Audi A5,Audi,A5,Automatic,2000.0,2017,7,Foreign Used,4899999.0,3M-5M
Volkswagen Golf R Variant,Volkswagen,Golf R Variant,Automatic,2000.0,2015,9,Foreign Used,3999999.0,3M-5M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2016,8,Foreign Used,1649999.0,1M-2M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2016,8,Foreign Used,1949999.0,1M-2M
Mazda Demio 1.3L,Mazda,Demio 1.3L,Automatic,1300.0,2016,8,Foreign Used,1249999.0,1M-2M
Toyota Porte,Toyota,Porte,Automatic,1500.0,2015,9,Foreign Used,1160000.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2014,10,Kenyan Used,2949999.0,2M-3M
Toyota Fielder 'G',Toyota,Fielder 'G',Automatic,1500.0,2016,8,Foreign Used,1749999.0,1M-2M
Jeep Grand Cherokee 'Trailhawk',Jeep,Grand Cherokee 'Trailhawk',Automatic,3600.0,2017,7,Foreign Used,5399999.0,5M-10M
Jeep Grand Cherokee,Jeep,Grand Cherokee,Automatic,3600.0,2016,8,Foreign Used,4899999.0,3M-5M
Jeep Renegade,Jeep,Renegade,Automatic,1400.0,2017,7,Foreign Used,2399999.0,2M-3M
Nissan Teana Xl,Nissan,Teana Xl,Automatic,2500.0,2015,9,Kenyan Used,1369999.0,1M-2M
Audi A3,Audi,A3,Automatic,1400.0,2017,7,Foreign Used,2749999.0,2M-3M
Subaru Forester Na / Panoramic Sunroof,Subaru,Forester Na / Panoramic Sunroof,Automatic,2000.0,2012,12,Kenyan Used,1999999.0,1M-2M
Toyota Belta,Toyota,Belta,Automatic,1300.0,2008,16,Kenyan Used,665000.0,500k-1M
Bmw X3 Xdrive 20D M-Sport / Panoramic Sunroof,Bmw,X3 Xdrive 20D M-Sport / Panoramic Sunroof,Automatic,2000.0,2017,7,Foreign Used,4249999.0,3M-5M
Nissan Sylphy,Nissan,Sylphy,Automatic,1800.0,2016,8,Foreign Used,1549999.0,1M-2M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2016,8,Foreign Used,2099999.0,2M-3M
Mazda Demio 1.3L,Mazda,Demio 1.3L,Automatic,1300.0,2017,7,Foreign Used,1399999.0,1M-2M
Bmw X6 Xdrive 35I,Bmw,X6 Xdrive 35I,Automatic,3000.0,2011,13,Kenyan Used,3199999.0,3M-5M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2017,7,Foreign Used,3549999.0,3M-5M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2017,7,Foreign Used,3099999.0,3M-5M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2016,8,Foreign Used,2599999.0,2M-3M
Toyota Harrier Premium,Toyota,Harrier Premium,Automatic,2000.0,2016,8,Foreign Used,3599999.0,3M-5M
"Toyota Landcruiser ""Zx"" 200 Series 4.6L V8",Toyota,"Landcruiser ""Zx"" 200 Series 4.6L V8",Automatic,4600.0,2017,7,Foreign Used,11999999.0,Above 10
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2016,8,Foreign Used,3099999.0,3M-5M
Ford Ranger,Ford,Ranger,Automatic,3200.0,2017,7,Foreign Used,5849999.0,5M-10M
Toyota Hilux D Cab,Toyota,Hilux D Cab,Automatic,2500.0,2016,8,Foreign Used,5399999.0,5M-10M
Audi A6 2.0L Quattro C7.5,Audi,A6 2.0L Quattro C7.5,Automatic,2000.0,2017,7,Foreign Used,3949999.0,3M-5M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2017,7,Foreign Used,1399999.0,1M-2M
Nissan Elgrand,Nissan,Elgrand,Automatic,2500.0,2016,8,Foreign Used,2449999.0,2M-3M
Audi Q7 2.0T Quattro,Audi,Q7 2.0T Quattro,Automatic,2000.0,2016,8,Foreign Used,5949999.0,5M-10M
Audi A5,Audi,A5,Automatic,2000.0,2017,7,Foreign Used,4549999.0,3M-5M
Toyota Landcruiser 200 Series 4.6L V8,Toyota,Landcruiser 200 Series 4.6L V8,Automatic,4600.0,2010,14,Kenyan Used,7499999.0,5M-10M
Mazda Demio 1.3L,Mazda,Demio 1.3L,Automatic,1300.0,2016,8,Foreign Used,1299999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2016,8,Foreign Used,4199999.0,3M-5M
Toyota Landcruiser Prado Tx / Sunroof / 7 Seater,Toyota,Landcruiser Prado Tx / Sunroof / 7 Seater,Automatic,2700.0,2015,9,Kenyan Used,4849999.0,3M-5M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2014,10,Kenyan Used,2349999.0,2M-3M
Peugeot 208,Peugeot,208,Automatic,1200.0,2017,7,Foreign Used,1269999.0,1M-2M
